> No.0   color.3
100.035945   27.565760
100.046599   27.558529
100.057254   27.551297
100.067939   27.544035
100.078624   27.536804
100.089279   27.529572
100.096454   27.524618
100.103629   27.519664
100.110834   27.514709
100.118009   27.509755
100.125184   27.504801
100.132389   27.499846
100.139564   27.494861
100.146739   27.489907
100.152898   27.483168
100.159026   27.476429
100.165154   27.469690
100.171313   27.462951
100.177472   27.456212
100.183600   27.449472
100.189728   27.442733
100.195886   27.435994
100.202600   27.423162
100.209283   27.410361
100.215965   27.397560
100.222679   27.384759
100.229392   27.371958
100.236106   27.359157
100.242819   27.346356
100.249502   27.333524
100.255138   27.321492
100.260742   27.309429
100.266347   27.297367
100.271952   27.285335
100.277557   27.273303
100.283162   27.261240
100.288767   27.249178
100.294372   27.237146
100.301270   27.224314
100.308199   27.211513
100.315128   27.198712
100.322026   27.185910
100.328925   27.173109
100.335854   27.160308
100.342783   27.147507
100.344635   27.144061
> No.383   color.3
100.545648   26.047060
100.580789   26.105628
100.608121   26.199337
100.631548   26.320377
100.666689   26.386754
100.686212   26.425800
100.694021   26.566363
100.697925   26.628835
100.717448   26.730353
100.679399   26.764464
100.596583   26.812410
> No.408   color.3
102.840218   24.548102
102.853648   24.592473
102.863220   24.630527
102.872686   24.654288
102.882162   24.678299
102.889239   24.690949
> No.409   color.3
103.117045   24.887515
103.116079   24.883859
103.114032   24.877227
103.113508   24.873070
103.110807   24.865603
103.106471   24.856015
103.102407   24.847298
103.098333   24.839156
103.095633   24.831891
103.094698   24.823727
103.094421   24.815869
103.093357   24.810525
103.089549   24.804565
103.087076   24.799756
103.085147   24.794714
103.082840   24.787751
103.078979   24.778383
103.075226   24.772493
103.069403   24.760568
103.065070   24.751630
103.058092   24.734658
103.052124   24.717841
103.049577   24.711932
103.047663   24.705163
103.046422   24.702120
103.044979   24.696520
103.043035   24.694138
103.040865   24.690460
103.039741   24.685667
103.038744   24.678830
103.037435   24.674555
103.034907   24.667314
103.033920   24.661992
103.032610   24.654918
103.031651   24.649743
103.031547   24.642039
103.029994   24.639800
103.029081   24.635693
103.028640   24.631299
103.028213   24.623567
103.028578   24.616008
103.028809   24.605138
103.029347   24.595134
103.029938   24.588801
103.030057   24.582898
103.030618   24.579180
103.030423   24.574980
103.030542   24.570482
103.031981   24.565765
103.033196   24.560260
103.033196   24.552003
> No.410   color.3
102.953544   24.356806
102.954555   24.358533
102.955927   24.360653
102.957534   24.363899
102.959432   24.369176
102.960284   24.373880
102.960515   24.379837
102.960112   24.383491
102.960653   24.388774
102.961604   24.391940
102.964227   24.395580
102.967160   24.398737
102.969882   24.400935
102.973021   24.403226
> No.411   color.3
102.979682   24.425489
102.978760   24.430010
102.978253   24.433857
102.978787   24.437025
102.979848   24.441248
> No.412   color.3
